Location,Price,Bedrooms,Bathrooms,Toilets,Parking
Kitisuru,"550,000,000",6,7,7,8
Garden City,"27,000,000",4,2,3,2
South C,"25,000,000",4,4,4,2
Brookside Drive,"78,500,000",5,4,6,NaN
Karen,"130,000,000",4,5,5,6
Karen,"89,000,000",5,6,6,6
Karen,"80,000,000",5,6,6,5
Karen,"180,000,000",6,7,7,9
Karen,"110,000,000",5,6,6,6
Mugumo-Ini (Langata),"36,000,000",4,5,5,4
Karen,"120,000,000",5,6,6,6
Convent Road,"550,000,000",6,8,8,5
Tassia,"15,500,000",4,3,3,4
Gitanga Road,"33,000,000",4,4,4,2
Runda,"28,500,000",4,3,210,NaN
Runda Mumwe,"60,000,000",4,5,5,NaN
Runda,"215,000,000",5,6,6,4
Shanzu Villas,"57,500,000",6,5,4,NaN
Kerarapon,"100,000,000",5,NaN,NaN,NaN
90 Mimosa Drive,"75,000,000",5,5,NaN,NaN
Iregi Villas,"19,000,000",4,3,2,NaN
City Park Villas,"45,000,000",4,3,NaN,NaN
Lavington,"105,000,000",6,NaN,NaN,NaN
Loresho,"45,000,000",4,4,1,NaN
Karen,"120,000,000",5,5,NaN,NaN
Lavington,"74,000,000",5,NaN,NaN,NaN
Off Ushirika Road,"110,000,000",10,10,10,NaN
Karen,"120,000,000",5,8,NaN,NaN
Karen,"155,000,000",5,9,5,NaN
Old Kitisuru,"88,000,000",5,8,NaN,NaN
Kahawa Sukari,"52,000,000",4,6,6,NaN
Karen Hardy,"110,000,000",10,11,11,"5,000"
Pepolane,"60,000,000",4,3,3,3
Karen,"95,000,000",5,6,6,4
Lavington,"75,000,000",5,6,6,3
Off Kiambu Road,"185,000,000",7,8,8,20
Kilimani,"29,000,000",4,3,4,3
Runda,"170,000,000",5,6,2,"2,023"
Garden  Estate,"80,000,000",5,5,4,5
Hardy-mlima Road,"150,000,000",6,5,6,6
Runda,"100,000,000",5,5,1,NaN
Chalbi Drive,"66,000,000",4,NaN,NaN,NaN
Windy Ridge,"99,000,000",5,NaN,NaN,NaN
Bogani,"89,500,000",4,NaN,NaN,NaN
Kangundo Road,"5,900,000",3,3,NaN,NaN
Kagundo Road,"6,100,000",3,2,2,1
Runda,"67,000,000",5,NaN,NaN,NaN
Runda,"45,000,000",4,NaN,NaN,NaN
Runda,"35,000,000",3,NaN,NaN,NaN
Peponi Road,"85,000,000",5,5,2,NaN
Lower Kabete,"118,500,000",4,4,1,NaN
Lower Kabete,"175,000,000",5,NaN,NaN,NaN
Lower Kabete,"90,000,000",3,NaN,NaN,NaN
Ruai,"35,000,000",4,4,NaN,NaN
Kangundo Road,"24,000,000",3,2,2,NaN
Muthaiga Rd,"35,000,000",5,5,4,NaN
Kiambu Road,"18,500,000",3,4,4,4
Karen,"85,000,000",5,4,5,NaN
Karen,"70,000,000",4,4,5,4
Karen,"70,000,000",4,4,5,3
Spring Valley,"40,000,000",5,4,5,2
Karen,"3,500,000",2,2,2,NaN
Lower Kabete Road,"165,000,000",5,5,5,4
Runda,"55,000,000",4,5,5,6
Runda,"150,000,000",4,5,5,6
Runda,"155,000,000",5,6,6,6
Runda,"145,000,000",4,5,5,6
Runda,"75,000,000",3,4,4,5
Runda,"115,000,000",5,6,6,7
Runda,"100,000,000",6,7,7,8
Runda,"185,000,000",8,9,9,9
Runda,"37,000,000",4,5,5,5
Westlands,"200,000,000",5,6,6,15
Kitisuru,"550,000,000",6,7,7,10
Rosslyn,"85,000,000",5,6,8,NaN
Old Runda/runda Estate.,"70,000,000",4,4,4,NaN
Lavington,"70,000,000",5,6,6,7
Lavington,"75,000,000",5,6,6,7
Lavington,"580,000,000",5,6,6,10
Lavington,"70,000,000",5,6,6,6
Lavington,"75,000,000",5,6,6,6
Runda,"180,000,000",5,5,5,3
South C,"40,500,000",5,6,6,7
South C,"27,000,000",4,5,5,5
South C,"22,500,000",4,5,5,5
Runda,"55,000,000",4,5,5,5
Shanzu Road,"90,000,000",4,4,4,3
Westlands,"200,000,000",5,7,7,8
Rosslyn,"85,000,000",5,6,6,NaN
Buruburu,"11,000,000",4,3,3,NaN
South C,"20,000,000",4,3,3,4
South C,"15,000,000",3,2,2,NaN
South C,"27,000,000",4,3,5,4
Lavington,"150,000,000",6,6,6,NaN
South C,"40,000,000",4,3,3,NaN
South B,"20,000,000",3,3,3,3
South C,"17,000,000",3,2,3,4
Karen,"120,000,000",4,5,5,6
Karen,"95,000,000",6,7,7,6
Karen,"110,000,000",5,6,6,5
Riverside Drive,"45,000,000",3,3,3,3
Runda Drive,"200,000,000",5,5,5,4
Kitisuru,"60,000,000",5,NaN,NaN,NaN
Karen,"95,000,000",5,6,6,3
Lavington,"70,000,000",5,NaN,NaN,NaN
Mimosa,"95,000,000",4,4,4,4
Karen Ololua,"95,000,000",5,5,5,4
Kilimani,"26,000,000",4,3,3,2
Miotoni,"120,000,000",5,5,5,2
Utawala,"8,500,000",3,2,2,2
Karen,"69,000,000",5,5,6,4
Mukoma,"45,000,000",4,3,4,3
Loresho,"35,000,000",4,5,5,NaN
Kiambu Road,"21,000,000",4,4,4,3
Lavington,"70,000,000",5,6,6,2
New Muthaiga,"185,000,000",7,NaN,NaN,NaN
Nyari,"160,000,000",6,6,7,4
Runda,"37,000,000",3,4,3,NaN
Runda,"185,000,000",8,9,6,NaN
Runda,"145,000,000",5,6,4,NaN
Runda,"75,000,000",4,5,4,NaN
Gigiri,"37,300,000",4,5,4,NaN
Kitisuru,"15,000,000",4,5,3,NaN
Chalbi Drive,"65,000,000",4,5,3,NaN
Karen,"100,000,000",4,5,6,NaN
Karen Plains,"120,000,000",5,6,6,NaN
Kerarapon Road,"40,000,000",3,4,4,NaN
Miotoni,"120,000,000",5,6,5,NaN
Old Muthaiga,"400,000,000",3,4,4,7
Lavington,"75,000,000",5,6,6,4
Karen,"100,000,000",5,6,6,5
Runda,"115,000,000",5,7,7,5
Rosslyn,"85,000,000",5,7,6,5
Karen,"120,000,000",5,7,7,5
Old Muthaiga,"320,000,000",4,6,6,5
Muthaiga,"400,000,000",6,7,7,5
Muthaiga,"650,000,000",5,7,7,5
Redhill,"25,000,000",5,6,6,4
Redhill,"25,000,000",5,5,5,3
Rosslyn,"110,000,000",5,6,6,4
Kiambu Road,"68,000,000",5,6,6,4
Runda,"48,000,000",4,5,5,4
Runda,"37,000,000",3,4,4,3
Kiambu Road Runda,"27,000,000",5,6,6,4
Runda,"185,000,000",8,9,9,5
Runda,"145,000,000",5,6,6,5
Runda,"75,000,000",4,5,5,4
Kitisuru,"15,000,000",4,4,4,3
Lavington,"65,000,000",4,5,5,4
Karen,"88,000,000",4,5,5,4
Karen,"90,000,000",4,5,5,4
Karen,"120,000,000",5,6,6,5
Karen,"105,000,000",5,6,6,4
Outerig Rd,"10,500,000",3,1,1,2
Karen,"65,000,000",4,5,NaN,NaN
Kileleshwa,"35,000,000",NaN,NaN,NaN,NaN
Kileleshwa,"50,000,000",5,NaN,NaN,NaN
Westlands,"30,000,000",3,NaN,NaN,NaN
Kilimani,"26,000,000",3,NaN,NaN,NaN
Kilimani,"25,000,000",NaN,NaN,NaN,NaN
Kihingo,"165,000,000",4,5,NaN,NaN
Chalbi Drive,"66,000,000",4,5,NaN,NaN
House No 21,"120,000,000",10,10,NaN,NaN
